3countb,bc6a
sonicwi2,c69e
sonicwi3,cdc0
aodk,c63e
alpham2,b310
androdun,bec0
aof,bce0
aof2,c116
aof3,cd44
bakatono,b9a2
b2b,afa4
bangbead,e130
bstars2,bbbc
bstars,b186
flipshot,dc8c
blazstar,d90c
bjourney,b6e6
breakers,d5e6
breakrev,db80
burningf,b5b6
pbobblen,c8a2
pbobbl2n,dcbe
ctomaday,dd14
marukodq,cf98
crsword,ba20
crswd2bl,ba86
cyberlip,b3fa
doubledr,c872
eightman,b7f4
kabukikl,cb88
fatfury1,b95c
fatfury2,be2a
fatfury3,c584
fatfursp,c1d4
fightfev,c24e
fbfrenzy,b982
galaxyfg,c76e
ganryu,de86
garoub,deea
gpilots,b646
ghostlop,e67a
goalx3,d080
gururin,c4a0
froman2b,afc6
ironclad,e7f4
janshin,be46
karnovr,c426
kof94,c094
kof95,c91a
kof96,d174
kof97,d6a8
kof98,da78
kof99b,de04
kof2000b,e0dc
kof2001,e292
kof2002,e404
kof2003b,e6f8
kotm,b4fc
kotm2,baf2
kizuna,d1fe
lresort,b790
lbowling,b5e6
legendos,b842
magdrop2,d340
magdrop3,d706
maglord,b22e
mahretsu,b1da
moshougi,cf6a
matrimb,e4d2
mslug,cf22
mslug2,da02
mslug2t,ab60,METAL SLUG 2 TURBO
mslug3b,e05a
mslug4b,e316
mslug5b,e652
mslugx,dd8e
minasan,b80c
miexchng,d628
mutnat,b4b8
nam1975,b156
neobombe,cbfe
neodrift,d0fc
neomrdo,cfe0
turfmast,ce34
neocup98,db32
nitd,e19e
ncombat,b38a
ncommand,bf2a
ninjamas,d278
overtop,d0ae
panicbom,c60a
pgoal,d304
pnyaa,e698
popbounc,d846
pspikes2,c4ee
preisle2,dfde
pulstar,ca98
puzzledp,cf54
puzzldpr,d7b4
joyjoy,b680
quizdais,b716
quizkof,c7e8
quizdai2,bc2a
rotd,e386
ragnagrd,d2d2
rbff1,ccc6
rbff2,d982
rbffspec,d43c
ridhero,b2a6
roboarmy,b912
samsho,bd4e
samsho2,c344
samsho3,c9da
samsho4,d3a8
samsho5,e5d6
samsh5pf,e424,SAMURAI SHODOWN V PERFECT
samsh5sp,e770
savagere,c21a
sengoku,b57a
sengoku2,bb72
sengoku3,e21e
shocktro,d8b8
shocktr2,dbfa
svcb,e546
socbrawl,b8b4
spinmast,c2ce
stakwin,ca56
stakwin2,d596
strhoop,c7ae
s1945p,df6e
2020bb,b878
sdodgeb,d03c
ssideki,bfc8
ssideki2,c282
ssideki3,c826
tws96,c966
teot,ab82,THE EYE OF TYPHOON
irrmaze,d81c
lastblad,d768
lastbld2,dafa
superspy,b454
ssideki4,ab4a,SUPER SIDEKICKS 4
trally,bab2
tophuntr,bdb6
tpgolf,b1b4
twinspri,d4a8
viewpoin,bf7e
gowcaizr,cc4c
wakuwak7,d526
wjammers,c3f2
wh1,c024
wh2,c168
wh2j,c3ac
whp,cb0a
xenocrisis,ab98,XENO CRISIS
xevious,ab76,XEVIOUS
zedblade,c718
zintrckb,b028
